กำหนดส่ง,แผ่นหน้า,"ลอน C",แผ่นกลาง,"ลอน B",แผ่นหลัง,จน.ชั้น,กว้างผลิต,ยาวผลิต,ทับเส้นซ้าย,ทับเส้นกลาง,ทับเส้นขวา,เลขที่ใบสั่งขาย,ชนิดส่วนประกอบ,จำนวนสั่งขาย,จำนวนสั่งผลิต,ประเภททับเส้น,สถานะใบสั่ง,"% ที่เกิน"
2024/01/02,CM127,CM127,,,CM127,3,272,319,272,0,0,12181158980,T,2800,2940,Y,A,5
2024/01/02,CM127,CM127,,,CM127,3,272,319,272,0,0,12181158984,T,1000,1100,Y,A,10
2024/01/02,CM127,CM127,CM127,CM127,CM127,5,225,589,225,0,0,12181158978,T,5000,5250,Y,A,5
2024/01/02,CM127,CM127,CM127,CM127,CM127,5,225,589,225,0,0,12181158979,T,3720,3900,Y,A,5
2024/01/02,CM127,CM127,CM127,CM127,CM127,5,225,589,225,0,0,12181158983,T,1830,2010,Y,A,10
2024/01/02,CM127,CM127,CM127,CM127,CM127,5,225,589,225,0,0,12181158985,T,1840,2020,Y,A,10
2024/01/02,CM127,CM127,CM127,CM127,CM127,5,314,613,314,0,0,12181158975,T,2600,2730,Y,A,5
2024/01/02,CM127,CM127,CM127,CM127,CM127,5,314,613,314,0,0,12181158976,T,2600,2730,Y,A,5
2024/01/02,CM127,CM127,CM127,CM127,CM127,5,314,613,314,0,0,12181158977,T,870,950,Y,A,10
2024/01/02,CM127,CM127,CM127,CM127,CM127,5,327,392,327,0,0,12181159113,R,800,880,Y,A,10
2024/01/02,CM97,CM127,,,CM97,3,228,304,228,0,0,12181159205,T,4000,4200,Y,A,5
2024/01/02,KB120,,,CM100,CM100,3,260,880,85,90,85,12181159199,A,15000,15300,N,Y,2
2024/01/02,KB160,,,CM127,KB120,3,565,1271,130,305,130,12181158645,A,2380,2490,X,Y,5
2024/01/02,KB160,,,CM147,KB160,3,700,1200,700,0,0,12181157826,X,2500,2620,Y,Y,5
2024/01/02,KB160,CM127,,,KB160,3,175,0,175,0,0,12181159108,U,1200,1320,Y,A,10
2024/01/02,KB160,CM127,,,KB160,3,188,310,188,0,0,12181159096,R,800,880,Y,A,10
2024/01/02,KB160,CM127,,,KB160,3,215,0,215,0,0,12181159098,U,840,920,Y,A,10
2024/01/02,KB160,CM127,,,KB160,3,215,0,215,0,0,12181159100,U,770,840,Y,A,10
2024/01/02,KB160,CM127,,,KB160,3,215,0,215,0,0,12181159101,U,880,960,Y,A,10
2024/01/02,KB160,CM127,CM127,CM127,KB160,5,125,1400,125,0,0,12181159103,V,400,440,Y,A,10
2024/01/02,KB160,CM127,CM127,CM127,KB160,5,179,0,179,0,0,12181159096,U,800,880,Y,A,10
2024/01/02,KB160,CM127,CM127,CM127,KB160,5,215,1320,215,0,0,12181159106,V,1200,1320,Y,A,10
2024/01/02,KB160,CM197,,,CM197,3,598,1316,154,290,154,12181158980,A,1400,1540,N,Y,10
2024/01/02,KB230,,,CM147,KB230,3,700,1200,700,0,0,12181156993,X,3000,3150,Y,Y,5
2024/01/02,KB230,CM127,,,KB230,3,0,0,0,0,0,12181159091,W,1000,1100,Y,A,10
2024/01/02,KB230,CM127,CM127,CM127,KB160,5,490,1270,125,240,125,12181158978,A,5000,5250,N,Y,5
2024/01/02,KB230,CM127,CM127,CM127,KB160,5,490,1270,125,240,125,12181158979,A,3720,3900,N,Y,5
2024/01/02,KB230,CM127,CM127,CM127,KB160,5,490,1270,125,240,125,12181158983,A,1830,2010,N,Y,10
2024/01/02,KB230,CM127,CM127,CM127,KB160,5,490,1270,125,240,125,12181158985,A,1840,2020,N,Y,10
2024/01/02,KB230,CM127,CM127,CM127,KB160,5,602,1322,156,290,156,12181158984,A,500,550,N,A,10
2024/01/02,KB230,CM127,CM127,CM127,KB230,5,580,1322,125,330,125,12181158975,A,2600,2730,N,Y,5
2024/01/02,KB230,CM127,CM127,CM127,KB230,5,580,1322,125,330,125,12181158976,A,2600,2730,N,Y,5
2024/01/02,KB230,CM127,CM127,CM127,KB230,5,580,1322,125,330,125,12181158977,A,870,950,N,A,10
2024/01/02,KB230,CM147,,,CM147,3,176,1304,176,0,0,12181159116,V,800,880,Y,A,10
2024/01/02,KB230,CM147,,,CM147,3,205,1282,205,0,0,12181159117,V,800,880,Y,A,10
2024/01/02,KI128,CM112,,,CM112,3,675,1810,153,369,153,12181159295,A,1000,1100,N,Y,10
2024/01/02,KI158,CM112,,,KB120,3,381,1123,113,155,113,12181159149,A,3000,3150,N,Y,5
2024/01/02,KL205,,,CM197,KL205,3,1066,881,1066,0,0,12181156991,G,2000,2200,Y,Y,10
2024/01/02,KS121,CM127,,,KB120,3,392,1463,130,132,130,12181159103,E,400,440,N,Y,10
2024/01/02,KS121,CM127,,,KB120,3,493,1383,135,223,135,12181159106,E,1200,1320,W,A,10
2024/01/02,KS121,CM127,CM127,CM127,KB120,5,433,1440,104,225,104,12181159279,E,2000,2200,N,Y,10
2024/01/02,KS121,CM127,CM127,CM127,KB120,5,440,1440,107,226,107,12181158627,A,2400,2520,N,Y,5
2024/01/02,KS121,CM127,CM127,CM127,KB120,5,440,1440,107,226,107,12181159241,A,350,380,N,Y,10
2024/01/02,KS121,CM127,CM127,CM127,KB120,5,553,1210,94,365,94,12181159248,E,400,440,N,Y,10
2024/01/02,KS121,CM127,CM127,CM127,KB120,5,553,1210,94,365,94,12181159273,E,400,440,N,Y,10
2024/01/02,KS121,CM127,CM127,CM127,KB120,5,553,1210,94,365,94,12181159275,E,10400,10600,N,Y,2
2024/01/02,KS121,CM127,CM127,CM127,KB120,5,553,1210,94,365,94,12181159276,E,400,440,N,Y,10
2024/01/02,KS161,CM112,CM112,CM112,KB120,5,594,1380,141,312,141,12181155307,A,2600,2730,N,A,5
2024/01/02,KS161,CM112,CM112,CM112,KB120,5,594,1380,141,312,141,12181155654,A,1040,1140,N,Y,10
2024/01/02,KS161,CM127,,,KB120,3,355,922,67,221,67,12181158641,A,5180,5430,N,Y,5
2024/01/02,KS161,CM127,,,KB120,3,523,1260,148,227,148,12181159290,A,1000,1100,N,Y,10
2024/01/02,KS161,CM127,,,KB120,3,843,1850,188,467,188,12181159293,A,600,660,N,Y,10
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,423,1480,119,185,119,12181159281,E,5200,5460,N,Y,5
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,430,1480,122,186,122,12181159257,A,2800,2940,N,Y,5
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,430,1480,122,186,122,12181159272,A,1200,1320,N,Y,10
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,455,1520,125,205,125,12181159256,A,2000,2200,N,Y,10
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,455,1520,125,205,125,12181159267,A,10800,11010,N,Y,2
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,455,1520,125,205,125,12181159268,A,6400,6720,N,Y,5
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,455,1520,125,205,125,12181159270,A,400,440,N,Y,10
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,513,1350,122,269,122,12181159243,E,1200,1320,N,Y,10
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,523,1510,129,265,129,12181159259,E,400,440,N,Y,10
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,523,1510,129,265,129,12181159260,E,400,440,N,Y,10
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,523,1510,129,265,129,12181159277,E,1200,1320,N,Y,10
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,523,1510,129,265,129,12181159278,E,1200,1320,N,Y,10
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,543,1220,139,265,139,12181159283,E,400,440,N,Y,10
2024/01/02,KS161,CM147,,,KB160,3,457,1334,122,213,122,12181159117,E,800,880,N,Y,10
2024/01/02,KS161,CM147,CM147,CM147,KB160,5,458,1520,122,214,122,12181159265,E,1600,1760,N,Y,10
2024/01/02,KS161,CM147,CM147,CM147,KB160,5,523,1380,122,279,122,12181159254,E,400,440,N,Y,10
2024/01/02,KS161,CM147,CM147,CM147,KB160,5,530,1380,125,280,125,12181159261,A,2400,2520,N,Y,5
2024/01/02,KS161,CM147,CM147,CM147,KB160,5,530,1380,125,280,125,12181159264,A,23600,24070,N,Y,2
2024/01/02,KS161,CM147,CM147,CM147,KB160,5,578,1380,122,334,122,12181159262,E,1600,1760,N,Y,10
2024/01/02,KS161,CM147,CM147,CM147,KB160,5,585,1380,125,335,125,12181159269,A,6000,6300,N,Y,5
2024/01/02,KS161,CM147,CM147,CM147,KB230,5,568,1450,137,294,137,12181159286,E,5600,5880,N,Y,5
2024/01/02,KS161,CM147,CM147,CM147,KB230,5,568,1450,137,294,137,12181159287,E,7200,7560,N,Y,5
2024/01/02,KS161,CM147,CM147,CM147,KB230,5,638,1390,131,376,131,12181159285,E,2000,2200,N,Y,10
2024/01/02,KS231,CM112,CM112,CM112,KB160,5,478,1300,120,238,120,12181158643,A,2570,2690,N,Y,5
2024/01/02,KS231,CM127,,,KB230,3,515,1337,131,253,131,12181157868,A,820,900,N,Y,10
2024/01/02,KS231,CM127,,,KB230,3,515,1337,131,253,131,12181157874,A,820,900,N,Y,10
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,395,910,80,235,80,12181158075,A,1650,1810,N,Y,10
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,403,952,86,231,86,12181159098,E,840,920,N,Y,10
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,403,952,86,231,86,12181159100,E,770,840,N,Y,10
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,403,952,86,231,86,12181159101,E,880,960,N,Y,10
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,440,1190,100,240,100,12181158032,A,2590,2720,N,Y,5
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,470,1260,112,246,112,12181158102,A,880,960,X,Y,10
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,498,1350,122,254,122,12181159246,E,2400,2520,N,Y,5
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,528,1150,99,330,99,12181159244,E,400,440,N,Y,10
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,528,1150,99,330,99,12181158621,E,800,880,X,Y,10
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,535,1130,125,285,125,12181159252,A,16400,16720,N,Y,2
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,535,1130,125,285,125,12181159253,A,15200,15500,N,Y,2
