roll width,roll length,demand,order_number,selected_order_width,selected_order_length,selected_order_quantity,num_cuts_z,calculated_trim,front,C,middle,B,back
75,109305.7673,1869.2327,12181186144,18.489795918367346,49.06122448979591,600,4.0,1.0408,KS231,CM127,,,KB160
75,101828.8367,7476.9306,12181186100,18.489795918367346,49.06122448979591,2400,4.0,1.0408,KS231,CM127,,,KB160
75,89086.9008,12741.9359,12181186133,18.489795918367346,49.06122448979591,4090,4.0,1.0408,KS231,CM127,,,KB160
75,66843.0322,22243.8686,12181186136,18.489795918367346,49.06122448979591,7140,4.0,1.0408,KS231,CM127,,,KB160
75,34754.5383,32088.4939,12181186134,18.489795918367346,49.06122448979591,10300,4.0,1.0408,KS231,CM127,,,KB160
75,25123.2212,9631.3171,12181185294,18.448979591836732,59.71428571428571,2540,4.0,1.2041,KS231,CM147,,,KB230
75,15264.3926,9858.8286,12181185297,18.448979591836732,59.71428571428571,2600,4.0,1.2041,KS231,CM147,,,KB230
75,10741.5338,4522.8588,12181185550,24.57142857142857,53.95918367346938,990,3.0,1.2857,KB230,CM127,CM127,CM127,KB160
75,7950.644,2790.8898,12181186105,24.326530612244895,54.938775510204074,600,3.0,2.0204,KS161,CM127,CME100,CM127,KB120
75,1696.1273,6254.5167,12181184580,24.20408163265306,57.265306122448976,1290,3.0,2.3878,KS231,CM127,,,KB160
75,1132.5756,563.5517,12181185546,12.040816326530612,24.20408163265306,550,6.0,2.7551,CM127,CM127,CM127,CM127,CM127
